"n","iteration","INNE","IEIN","INNT","DNNE","DEIN","DNNT","NNE","EIN","NNT"
200,14,6.43915251922486,6.84972315466031,6.71695518395959,1.60868577753844,1.61611136868153,1.61380211425494,1.28712490175546,1.30759884711181,1.30118260431676
200,15,2.25359621557591,2.20798693691382,2.22351208241358,4.0297086963948,4.04983713410447,4.04287014226787,1.44531204376686,1.42892919001118,1.43453914567261
200,16,5.93976665358253,4.50354319077714,4.98576202676208,1.96664060199001,1.92803784068459,1.94329565203029,1.47745820478561,1.35005710830014,1.3982867683805
200,17,2.21270166215166,2.14800051169304,2.1737431101652,6.10204561213918,6.20774625277587,6.16449935056252,1.62386252118688,1.59581692782145,1.60705784913736
200,18,4.25528875456701,3.75917856936114,3.94065254214468,2.3458838130997,2.33153023279806,2.33717885839128,1.51221815624951,1.4390178171017,1.46706867742038
200,19,2.81692890883587,2.72556256437647,2.75731115813677,2.60777405711406,2.58972179387581,2.59610166264582,1.35415969782182,1.32795318138982,1.33713956343118
200,20,41.1803509729945,55.7090260009418,42.2031535565494,0.996712167183284,1.03251725682147,1.02245214556307,1.12881987538402,1.15776029822277,1.14564621124846
200,21,48.4705702463108,41.6622161873194,43.7516941488265,1.40861559460971,1.36374644730607,1.3786777259532,1.36883551680935,1.3205212814141,1.33656080572676
200,22,22.612090064858,22.8040215887022,22.7335901600627,1.39348271677841,1.38887753479465,1.39055489452705,1.31259341247918,1.30914418838694,1.31040105239038
200,23,2.70154880197337,2.51358481199935,2.59296482014104,3.17387983358445,3.35596574882519,3.27333735390452,1.4593643790243,1.43716362071583,1.44684817649888
200,24,3.70232374644958,3.7185435448536,3.71301289152437,2.40409152323561,2.34429139145275,2.36428679707134,1.45760233165698,1.437833903205,1.44449472736506
200,25,7.62441400637047,7.01877646862621,7.19597396937545,1.54638336064296,1.54122846782195,1.54282280515479,1.28563160692775,1.26373035814441,1.2704395162309
200,26,15.443814795897,18.4225557757866,16.3414816765824,0.494930330645409,0.497837820126522,0.515408290204212,1.68805899627915,1.65974344997284,1.67629932337828
200,27,16.9270915601826,11.8964104295659,13.686095853268,1.7329156793809,1.60310579607267,1.65774452751359,1.57198344000431,1.41273244117237,1.47864223953959
200,28,3.60086061475697,3.09457549163609,3.28633119091451,3.04208184403826,2.98855433303318,3.01053790970165,1.64898503425064,1.52032050241094,1.57119744331813
200,29,2.62682083644762,1.37067424208891,1.84314500104179,3.13846499073533,3.07574216843928,3.11218906008581,1.54485412503512,1.33028398863959,1.41151839240508
200,30,3.65370522800786,3.40439922375877,3.4828224134033,3.068836828392,3.08216566034771,3.0777543644412,1.66791446892204,1.61763931588735,1.63389169068608
200,31,6.05146138205217,4.94149949034655,5.28567215788324,1.80543624429781,1.79504792806452,1.79872206568659,1.39056511028971,1.3167321290413,1.34202796255357
200,32,8.61552883327124,7.84440315232975,8.07198311675733,1.78668798645994,1.6764304001187,1.70966428857163,1.47980590389216,1.38124417813927,1.41084427814833
200,33,3.15881291143821,2.65728657911483,2.82313169969755,2.89803635255538,2.95848982121391,2.93583033422474,1.51140539400503,1.3999053266975,1.43918915121629
200,34,7.34702986077001,6.71210583731918,6.94302239759032,1.72760788231159,1.69058890819782,1.70439722875584,1.39815434262482,1.35051225707625,1.36842110721446
200,35,3.76333612825736,3.50530667669561,3.59781184214043,2.17013170618751,2.19327450200938,2.18453834017398,1.37641852637562,1.34912524971265,1.35923243354165
200,36,28.8149989737701,49.5651247097186,29.0659002738402,0.739075781645148,0.551975466556416,0.731207470384165,1.03955616493842,0.941618400681361,1.0238115316984
200,37,32.2300228412253,33.7143185865105,29.7642793157608,1.31930810679847,1.17625893818468,1.22313071500389,1.42522618437656,1.32861368070403,1.3703849350441
200,38,4.37684911005685,3.96108179414107,4.07528242379097,2.48674650618593,2.47405442280981,2.47778509467486,1.58577440199125,1.5228787086868,1.54090798217009
200,39,20.8584552908988,18.9736291269719,19.5750392263686,1.43739942129296,1.39904323238121,1.41185255739249,1.3447312045832,1.30296737490633,1.3168729070355
200,40,4.18392276887321,4.19906612055144,4.19352611032212,2.18911004348503,2.18803270869908,2.18842581298867,1.43715992469515,1.43847688364755,1.43799591401289
200,41,13.6988668821385,12.7661464188665,13.1143870684022,1.59366003103657,1.56904430696386,1.57855343795247,1.4275820303909,1.39730609403582,1.40895968267794
